,0,1,2,3,4,5,6,7
230,ghd Ceramic Radial Brush (1.38 inches),$35.00,None,None,None,None,ghd,None
231,Tangle Teezer Blow Drying Smoothing Tool Half Size,$24.00,None,None,None,None,Tangle Teezer,None
232,Lee Stafford Fresh Hair Dry Shampoo 6.76 oz,$11.99,None,None,None,"['Butane', ' Propane', ' Isobutane', ' Alcohol Denat.', ' Oryza Sativa (Rice) Starch', ' Parfum (Fragrance)', ' Betaine', ' Montmorillonite', ' Illite', ' Kaolin', ' Cetrimonium Chloride', ' Benzyl Salicylate', ' Alpha-Isomethyl Ionone.']",Lee Stafford,6.76 oz
233,SILKE Hair Wrap The Sofia - Champagne,$65.00,3.0,2,None,None,SILKE London,None
234,invisibobble Slim Hair Tie - Crystal Clear,$8.00,None,None,None,None,invisibobble,None
235,invisibobble Power Hair Tie (3 Pack) - True Black,$6.75,None,None,None,None,invisibobble,None
236,Slip Silk Pillowcase - Queen (Various Colors),None,4.54,13,None,['100% mulberry silk'],Slip,None
237,invisibobble Original Hair Tie (3 Pack) - Pretzel Brown,$6.00,5.0,1,None,None,invisibobble,None
238,Lee Stafford Grow it Longer Treatment Mask 6.7 fl. oz,$15.99,None,None,None,"['Aqua (Water/Eau)', ' Cetearyl Alcohol', ' Cetyl Alcohol', ' PPG-3 Benzyl Ether Myristate', ' Saccharum Officinarum/Sugar Cane Extract/Extrait de Canne à Sucre', ' Citrus Limon (Lemon) Fruit Extract', ' Pyrus Malus (Apple) Fruit Extract', ' Hydrolyzed Lupine Protein', ' Hydrolyzed Vegetable Protein PG-Propyl Silanetriol', ' Camellia Sinensis Leaf Extract', ' Hydrolyzed Wheat Protein', ' Hydrolyzed Wheat Starch', ' Panthenol', ' Guar Hydroxypropyltrimonium Chloride', ' Cetrimonium Chloride', ' Betaine', ' Hexylene Glycol', ' Quaternium-91', ' Parfum (Fragrance)', ' Cetrimonium Methosulfate', ' Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate', ' Creatine', ' Hexapeptide-11', ' Citric Acid', ' Sodium Chloride', ' Phenoxyethanol', ' Sodium Benzoate', ' Potassium Sorbate', ' Disodium EDTA', ' Ethylhexylglycerin', ' Sodium Sulfate', ' Hexyl Cinnamal', ' Butylphenyl Methylpropional', ' Linalool', ' Benzyl Benzoate', ' Coumarin', ' Limonene', ' CI 15985 (Yellow 6)', ' CI 60730 (Ext. Violet 2)', ' CI 17200 (Red 33)']",Lee Stafford,6.7 fl.oz
239,L'Occitane Aromachologie Intensive Repair Shampoo 10.1 fl oz,$26.00,None,None,None,"['Aqua/Water', ' Sodium Laureth Sulfate', ' Decyl Glucoside', ' Peg-7 Glyceryl Cocoate', ' Cocamidopropyl Betaine', ' Citrus Aurantium Dulcis (Orange) Oil', ' Lavandula Angustifolia (Lavender) Oil', ' Pelargonium Graveolens Flower Oil', ' Cananga Odorata Flower Oil', ' Angelica Archangelica Root Oil', ' Angelica Archangelica Seed Oil', ' Avena Strigosa Seed Extract', ' Lavandula Hybrida Oil', ' Helianthus Annuus (Sunflower) Seed Oil', ' Panthenol', ' Sodium Chloride', ' Polyquaternium-7', ' Glycerin', ' Coco-Glucoside', ' Glyceryl Oleate', ' Sodium Benzoate', ' Hydroxypropyl Guar Hydroxypropyltrimonium Chloride', ' Citric Acid', ' Lecithin', ' Potassium Sorbate', ' Hydrogenated Palm Glycerides Citrate', ' Ascorbyl Palmitate', ' Tocopherol', ' Parfum/Fragrance', ' Limonene', ' Linalool.']",L'Occitane,10.1 fl. oz
240,Gallinée Prebiotic Scalp and Hair Serum 100ml,$36.00,None,None,None,"['Aqua (Water)', ' Polysorbate 20', ' Propanediol', ' Glycerin', ' Alpha-Glucan Oligosaccharide*', ' Lactic Acid', ' Inulin', ' Saccharomyces/Rice Ferment Filtrate', ' Cynara Scolymus (Artichoke) Leaf Extract', ' Arginine', ' Gluconolactone', ' Calcium Gluconate', ' Sodium Hydroxide', ' Parfum (Fragrance)', ' Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', ' Caprylhydroxamic Acid', ' Butylene Glycol', ' 1', '2-Hexanediol', ' Sorbitan Isostearate', ' Polysorbate 60', ' Caprylyl Glycol', ' Sodium Benzoate', ' Limonene']",Gallinée,1 x 100ml
241,Curlsmith Super Slip Pre-Biotic Primer 355ml,$28.00,None,None,None,"['Water (Aqua)', ' Glycerin (Plant Derived)', ' Polyquaternium-10', ' Dicaprylyl Carbonate', ' Peg-40 Hydrogenated Castor Oil', ' Saccharomyces/Rice Ferment Filtrate (Fermented Rice Water)', ' Hylocereus Undatus (Dragon Fruit) Fruit Extract', ' Paullinia Cupana (Guarana) Seed Extract', ' Urtica Dioica (Nettle) Leaf Extract*', ' Zingiber Officinale (Ginger) Root Extract*', ' Fructose', ' Inulin', ' Hydroxypropylammonium Gluconate', ' Hydroxypropylgluconamide', ' Polyester-11', ' Xanthan Gum', ' Citric Acid', ' Ethylhexylglycerin', ' Tartaric Acid', ' Tocopherol', ' Potassium Sorbate', ' Sodium Benzoate', ' Phenoxyethanol', ' Linalool', ' Limonene', ' Benzyl Alcohol', ' Fragrance (Parfum).']",Curlsmith,12oz
242,Miriam Quevedo Extreme Imperial Smoothing Shampoo 250ml,$45.00,None,None,None,"['Amino Acids', ' AHAs', ' Omega Acids', ' Peptides', ' Panthenol', ' Keratin', ' Coconut Oil']",Miriam Quevedo,250ml
243,Alterna Caviar Infinite Color Vibrancy Serum 1.7 oz,$34.00,5.0,2,None,None,Alterna,1.7 oz
244,ghd Curve Classic Wave Wand,$199.00,None,None,None,None,ghd,None
245,SEEN Blow Out Crème 150ml,$16.80,5.0,1,None,"['Water', ' C13-15 Alkane', ' Cetearyl Alcohol', ' Glycerin', ' Squalane', ' Behentrimonium Chloride', ' Hydrolyzed Ceratonia Siliqua Seed Extract', ' Moringa Oleifera Seed Extract', ' Bisabolol', ' Zea Mays (Corn) Starch', ' Polyquaternium-7', ' Guar Hydroxypropyltrimonium Chloride', ' VP/VA Copolymer', ' Tocopherol', ' Disodium EDTA', ' Ethylhexylglycerin', ' Potassium Sorbate', ' Disodium Phosphate', ' Sodium Benzoate', ' Citric Acid', ' Phenoxyethanol', ' Fragrance']",SEEN,5 fl.oz
246,Lee Stafford Grow it Longer Scalp Serum 2.5 fl. oz,$13.99,None,None,None,None,Lee Stafford,2.5 fl.oz
247,Philip B Peppermint Avocado Scalp Scrub 236ml,$78.00,None,None,None,"['Sea Salt (Maris Sal)', ' Water (Aqua)', ' Sodium Methyl Cocoyl Taurate', ' Sodium Cocoyl Isethionate', ' Sodium Chloride', ' Coconut Acid', '  Fragrance (Parfum)', ' Tocopherol', ' Menthol', ' Mentha Piperita (Peppermint) Oil', ' Persea Gratissima (Avocado) Oil', ' Eucalyptus Globulus Leaf Oil', ' Mentha Arvensis (Cornmint) Leaf Oil', '\xa0 Arnica Montana Flower Extract', ' Aloe Barbadensis Leaf Juice', ' Hamamelis Virginiana (Witch Hazel) Water', ' Chamomilla Recutita (Matricaria) Flower Extract', ' Equisetum Hyemale Leaf/Stem Extract', ' Sodium Isethionate', ' Glycerin', ' Ethylhexylglycerin', ' Alcohol', ' Citric Acid', ' Sodium Benzoate', ' Sodium Sulfite', ' Potassium Sorbate', ' Phenoxyethanol', '', ' Limonene']",Philip B,236ml
248,KLORANE Conditioner with Oat Milk - 6.7 fl. oz.,$14.00,None,None,None,"['Water (Aqua)', ' Caprylic/Capric', ' Triglyceride', ' Inulin', ' Hydroxyethylcellulose', ' Propylene Glycol', ' Lauryl', ' Glucoside', ' Polyglyceryl-2 Dipolyhydroxystearate', ' Avena Sativa (Oat) Kernel Extract (Avena Sativa)', ' Cetrimonium Chloride', ' Fragrance (Parfum)', ' Glycerin', ' Methylisothiazolinone', ' Polyquaternium-37.']",KLORANE,200ml
249,Fekkai Brilliant Gloss Multi-Tasker Perfecting Creme 4 oz,$24.00,None,None,None,"['Water/Aqua/Eau', ' Isohexadecane', ' Propylene Glycol Dibenzoate', ' Propanediol', ' Steareth-21', ' Hydrogenated Ethylhexyl Olivate', ' Olea Europaea (Olive) Fruit Oil', ' Coconut Alkanes', ' Coco-Caprylate/Caprate', ' Glycerin', ' Triheptanoin', ' Sorbitan Oleate', ' Caesalpinia Spinosa Fruit Extract', ' Helianthus Annuus (Sunflower) Sprout Extract', ' Fragrance/Parfum', ' Panthenol', ' Hydrogenated Olive Oil Unsaponifiables', ' Lepidium Sativum Sprout Extract', ' Leontopodium Alpinum Extract', ' Opuntia Ficus-Indica Stem Extract', ' Helianthus Annuus (Sunflower) Extract', ' Oryza Sativa (Rice) Seed Protein', ' Oryza Sativa (Rice) Extract', ' Oryza Sativa (Rice) Bran Extract', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Pentylene Glycol', ' Ammonium Acryloyldimethyltaurate/Vp Copolymer', ' Acrylamide/Sodium Acryloyldimethyltaurate Copolymer', ' Polysorbate 80', ' Steareth-2', ' Tocopherol', ' Maltodextrin', ' Lecithin', ' Calcium Gluconate', ' Gluconolactone', ' Oleth-10', ' Sodium Phytate', ' Phytic Acid', ' Potassium Sorbate', ' Sodium Benzoate', ' Citric Acid', ' Ethylhexylglycerin', ' Caprylyl Glycol', ' Phenoxyethanol', ' Chlorphenesin', ' Potassium Hydroxide', ' Disodium Phosphate', ' C13-16 Isoparaffin', ' Alcohol', ' Linalool', ' Limonene', ' Hexyl Cinnamal', ' Hydroxycitronellal', ' Geraniol', ' Citral.']",Fekkai,4.0 oz
250,KLORANE Oatmilk Dry Shampoo Spray 1.0oz,$10.00,2.5,2,None,"['Butane', ' Propane', ' Isobutane', ' Oryza Sativa (Rice) Starch (Oryza Sativa)', ' SD Alcohol 39-C (Alcohol Denat.)', ' Aluminum Starch Octenylsuccinate', ' Avena Sativa (Oat) Kernel Oil (Avena Sativa)', ' Cyclodextrin', ' Cyclomethicone', ' Fragrance (Parfum)', ' Isopropyl Myristate', ' Silica.']",KLORANE,50ml
251,invisibobble Slim Hair Tie - True Black,$8.00,None,None,None,None,invisibobble,None
252,Lee Stafford Argan Oil from Morocco Nourishing Hair Oil 1.69 fl.oz,$17.99,None,None,None,"['Cyclopentasiloxane', ' Dimethicone', ' Argania Spinosa Kernel Oil', ' Parfum (Fragrance) ', ' Linalool', ' Coumarin', ' Limonene', ' Butylphenyl Methylpropional', ' Citronellol', ' Geraniol.']",Lee Stafford,1.6907 fl. Oz
253,VIRTUE Smooth Shampoo 240ml,$40.00,5.0,1,None,"['Aqua (Water', ' Eau)', ' Sodium Lauroyl Methyl Isethionate', ' Glycerin', ' Cocamidopropyl Betaine', ' Sodium Cocoyl Isethionate', ' Sodium Lauroyl Glycinate', ' Sodium Methyl Cocoyl Taurate', ' Glycol Distearate', ' Cocamide MIPA', ' Sodium Methyl Isethionate', ' Parfum (Fragrance)', ' Keratin', ' Tocopherol', ' Asiaticoside', ' Madecassoside', ' Citrus Paradisi (Grapefruit) Fruit Extract', ' Caprylyl Glycol', ' Guar Hydroxypropyltrimonium Chloride', ' Cyamopsis Tetragonoloba (Guar) Gum', ' Trimethylsiloxyamodimethicone', ' PEG-120 Methyl Glucose Dioleate', ' Hydroxyethylcellulose', ' Coconut Acid', ' Trideceth-12', ' Lactic Acid', ' C12-16 Pareth-9', ' Sodium Isethionate', ' Acrylates Copolymer', ' C11-15 Pareth-7', ' Lauric Acid', ' Zinc Laurate', ' Sodium Laurate', ' Sodium Acetate', ' Ethylhexylglycerin', ' Celluose', ' Isopropanolamine', ' Phenoxyethanol', ' Citric Acid', ' Sodium Hydroxide', ' Sorbic Acid', ' Disodium EDTA', ' Sodium Chloride', ' Limonene', ' Linalool.']",VIRTUE,240ml
254,Grow Gorgeous Intense Kit (Density),$58.00,None,None,None,"['Intense Thickening Shampoo (50ml): Aqua/Water/Eau', ' Sodium Cocoyl Isethionate', ' Sodium Methyl Cocoyl Taurate', ' Cocamidopropyl Betaine', ' Fragrance (Parfum)', ' Caffeine', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Sodium Chloride', ' Inositol', ' Coconut Acid', ' Lauryl Glucoside', ' Panthenol', ' Niacinamide', ' Sodium Benzoate', ' Sodium PCA', ' Sodium Lactate', ' Hydrolyzed Rice Protein', ' Arginine', ' Potassium Sorbate', ' Sodium Isethionate', ' Glycerin', ' Aspartic Acid', ' Polyquaternium-10', ' PCA', ' Allantoin', ' Disodium EDTA', ' Phytantriol', ' Glycine', ' Alanine', ' Urea', ' Serine', ' Valine', ' Benzyl Alcohol', ' Butylphenyl Methylpropional', ' Disodium Phosphate', ' Limonene', ' Linalool', ' Isoleucine', ' Proline', ' Threonine', ' Biotin', ' Centella Asiatica (Gotu Kola) Extract', ' Histidine', ' Phenylalanine', ' Citric Acid', ' Sodium Hydroxide.']",Grow Gorgeous,None
255,ghd Ceramic Radial (2.16 inches),$40.00,None,None,None,None,ghd,None
256,Philip B Forever Shine Shampoo 220ml,$88.00,None,None,None,"['Water (Aqua)', ' Decyl Glucoside', ' Sodium Cocoyl Isethionate', ' Fragrance (Parfum)', ' Cocamidopropyl', ' Betaine', ' Carthamus Tinctorius (Safflower) Oleosomes', ' Cocamide MEA', ' Glycol Distearate', ' Acrylates Crosspolymer-4', ' Disodium Laureth Sulfosuccinate', ' Sodium Methyl Cocoyl Taurate', ' Glycerin', ' Phenoxyethanol', ' Glyceryl Stearate', ' PEG-100 Stearate', ' Hydroxypropyl Guar', ' Hydroxypropyltrimonium Chloride', ' Stearic Acid', ' Polyquaternium-39', ' Panthenol', ' Calcium Aluminum Borosilicate', ' Linalool', ' Sodium Hydroxide', ' Hexyl Cinnamal', ' Citronellol', ' Butylphenyl Methylpropional', ' Benzyl Salicylate', ' Ethylhexylglycerin', ' Limonene', ' Titanium Dioxide (CI 77891)', ' Mica', ' Amyl Cinnamal', ' Alpha-Isomethyl Ionone', ' Silica', ' Iron Oxides (CI 77491)', ' Cinnamal', ' Cinnamyl Alcohol', ' Hydrolyzed Lupine Seed Extract', ' Sodium PCA', ' Sodium Lactate', ' Arginine', ' Aspartic Acid', ' PCA', ' Tin Oxide', ' Yellow 5 (CI 19140)', ' Glycine', ' Alanine', ' Yellow 6 (CI 15985)', ' Serine', ' Valine', ' Isoleucine', ' Proline', ' Threonine', ' Green 5 (CI 61570)', ' Red 4 (CI 14700)', ' Histidine', ' Phenylalanine', ' Styrax Benzoin Resin Oil', ' Benzaldehyde', ' Benzoic Acid', ' Benzyl Benzoate', ' Cinnamic Acid', ' Coniferyl Benzoate', ' Vanillin.']",Philip B,220ml
257,Klorane Dry Shampoo with Oat Milk - All Hair Types 5.4 oz,$29.00,None,None,None,"['Butane', ' Propane', ' Oryza Sativa (Rice) Starch (Oryza Sativa Starch)', ' Isobutane', ' Alcohol (Alcohol Denat.)', ' Aluminum Starch Octenylsuccinate', ' Avena Sativa (Oat) Kernel Oil (Avena Sativa Kernel Oil)', ' Benzyl Salicylate', ' Cetrimonium Chloride', ' Cyclodextrin', ' Fragrance (Parfum)', ' Hexyl Cinnamal', ' Isopropyl Myristate', ' Limonene', ' Silica.']",KLORANE,5.4oz
258,Slip Silk Pillowcase King (Various Colors),$110.00,4.33,3,None,['100% Silk.'],Slip,None
259,CHI Ceramic Curling 1 Inch Iron (Various Colours),None,None,None,None,['Ceramic Tourmaline and\xa0plastic.'],CHI,None
260,Christophe Robin Hydrating Shampoo with Aloe Vera 250ml,$34.00,None,None,None,"['Aqua', ' Aloe Barbadensis Leaf Juice', ' Coco-Glucoside', ' Ammonium Lauryl Sulfate', ' Cocamidopropyl Betaine', ' Sodium Pca', ' Cannabis Sativa Seed Extract', ' Linum Usitatissimum Seed Extract', ' Glycerin', ' Glyceryl Caprylate', ' Parfum', ' Propanediol', ' Sodium Phytate', ' Benzyl Alcohol', ' Benzoic Acid', ' Limonene', ' Linalool.']",Christophe Robin,250ml
261,DHC After Bath Hair Oil,$19.00,None,None,None,"['Cyclopentasiloxane', ' Dimethicone', ' Ethylhexyl Palmitate', ' Squalane', ' Cyclohexasiloxane', ' Argania Spinosa Kernel Oil', ' Olea Europaea (Olive) Fruit Oil', ' Butyrospermum Parkii (Shea Butter)', ' Fragrance/Parfum', ' Tocopherol', ' Limonene', ' Linalool.']",DHC,3.3 fl. oz
262,Olaplex Shampoo and Conditioner Duo Bundle,$112.00,None,None,None,['Olaplex No.5 Bond Maintenance Conditioner 8.5 oz'],Olaplex,2 x 8.5oz
263,evo Fabuloso Caramel Colour Boosting Treatment 30ml,$9.00,None,None,None,"['Cationic Hair Dye', ' Centrimonium Chloride', ' Pantenol', ' Benzophonene - 4']",evo,30ml
264,Grow Gorgeous Curl Confidence Set (Worth $83.00),$54.00,None,None,None,"['Curl Defining Shampoo (50ml): Aqua/Water/Eau', ' Sodium Cocoyl Isethionate', ' Sodium Methyl Cocoyl Taurate', ' Cocamidopropyl Betaine', ' Betaine', ' Fragrance (Parfum)', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Sodium Chloride', ' Caffeine', ' Coconut Acid', ' Lauryl Glucoside', ' Sodium Benzoate', ' Potassium Sorbate', ' Sodium Methoxy PEG-16 Maleate/Styrene Sulfonate Copolymer', ' Sodium Isethionate', ' Cetearyl Nonanoate', ' Triticum Vulgare (Wheat) Bran Extract', ' Polyquaternium-10', ' Sodium PCA', ' Sodium Lactate', ' Allantoin', ' Avena Sativa (Oat) Kernel Oil', ' Disodium EDTA', ' Ethylhexyl Isononanoate', ' Arginine', ' Aspartic Acid', ' PCA', ' Linoleic Acid', ' Butylphenyl Methylpropional', ' Phenoxyethanol', ' Limonene', ' Glycine', ' Linalool', ' Alanine', ' Serine', ' Valine', ' Isoleucine', ' Proline', ' Threonine', ' Camellia Oleifera Seed Oil', ' Histidine', ' Phenylalanine', ' Citric Acid', ' Tocopherol', ' Sodium Hydroxide.']",Grow Gorgeous,None
265,invisibobble Slim Elegant Hair Ties - Bronze (Pack of 3),$8.00,None,None,None,None,invisibobble,None
266,Alterna Caviar Clinical Densifying Styling Mousse 150ml,$38.00,None,None,None,"['Water/Aqua/Eau', ' Propane', ' VP/VA Copolymer', ' Polyquaternium-11', ' Butane', ' Cocamidopropyl Betaine', ' Isobutane', ' Phenoxyethanol', ' Panthenol', ' PEG-60 Almond Glycerides', ' Hydrolyzed Vegetable Protein PG-Propyl Silanetriol', ' Polysorbate 80', ' PEG-12 Dimethicone', ' Fragrance/Parfum', ' Hexyl Cinnamal', ' Limonene', ' Linalool', ' Geraniol', ' Citral', ' Caprylyl Glycol', ' Hexylene Glycol', ' Ethylhexylglycerin', ' Glycerin', ' Polyquaternium-7', ' Potassium Sorbate', ' Disodium EDTA', ' Caviar Extract', ' Ascorbic Acid (Vitamin C)', ' Butylente Glycol', ' Emblica Officinalis Fruit Extract', ' Helianthus Annuus (Sunflower) Seed Oil', ' Macrocystis Pyrifera Extract', ' Laminaria Digitata Extract', ' Saccharomyces/Zinc Ferment', ' Saccharomyces/Copper Ferment', ' Saccharomyces/Magnesium Ferment', ' Saccharomyces/Iron Ferment', ' Saccharomyces/Silicon Ferment', ' Radish Root Ferment Filtrate', ' Alaria Esculenta Extract', ' Methyl Alcohol', ' Dextran', ' Acetyl Tetrapeptide-3', ' Triolium Pratense (Clover) Flower Extract', ' Tocopherol']",Alterna,5oz
267,Alterna Caviar Anti-Aging Smoothing Anti-Frizz Shampoo 8.5 oz,$34.00,None,None,None,"['Water', ' Sodium Lauroyl Methyl Isethionate', ' Disodium Cocoyl Glutamate', ' Potassium Cocoyl Glycinate', ' Cocamidopropyl\xa0Hydroxysultaine', ' Sodium Lauroyl Sarcosinate', ' Decyl Glucoside', ' Potassium Cocoate', ' Cocamidopropylamine Oxide', '\xa0Glycereth-26', ' PPG-3 Benzyl Ether Myristate', ' Phenoxyethanol', ' Fragrance', ' Sodium Cocoyl Glutamate', ' Glycol Distearate', '\xa0PEG-120 Methyl Glucose Dioleate', ' Citric Acid', ' Quaternium-91', ' Methyl Gluceth-20', ' Polyquaternium-10', ' Sodium Benzoate', '\xa0Guar Hydroxypropyltrimonium Chloride', ' Polyquaternium-44', ' Panthenol', ' Polyquaternium-55', ' Phospholipids', ' Trisodium\xa0Ethylenediamine Disuccinate', ' Ethylhexylglycerin', ' Glycine Soja (Soybean) Oil', ' Hydrolyzed Vegetable Protein PG-Propyl\xa0Silanetriol', ' Helianthus Annuus (Sunflower) Seed Oil', ' Tocopheryl Acetate', ' Superoxide Dismutase', ' Polysilicone-15', '\xa0Persea Gratissima (Avocado) Oil', ' Passiflora Incarnata Seed Oil', ' Oryza Sativa (Rice) Bran Oil', ' Crambe Abyssinica Seed\xa0Oil', ' Camellia Sinensis Seed Oil', ' Ascorbic Acid', ' Glycerin', ' Cocodimonium Hydroxypropyl Silk Amino Acids', ' Laminaria\xa0Digitata Extract', ' Saccharomyces/Magnesium Ferment', ' Caviar Extract', ' Saccharomyces/ Copper Ferment', '\xa0Saccharomyces/Silicon Ferment', ' Saccharomyces/Zinc Ferment', ' Saccharomyces/Iron Ferment', ' Caprylyl Glycol', ' Potassium\xa0Sorbate', ' Disodium EDTA', ' Tocopherol', ' Tetrasodium EDTA (10-17-8470).']",Alterna,250ml
268,SILKE Hair Wrap The Isla - Blue and Green,$65.00,2.33,3,None,None,SILKE London,None
269,T3 Volume 2.0 Round Brush,$35.00,None,None,None,None,T3,None
270,Lee Stafford Grow it Longer Treatment Mask 6.7 fl. oz,$15.99,None,None,None,"['Aqua (Water/Eau)', ' Cetearyl Alcohol', ' Cetyl Alcohol', ' PPG-3 Benzyl Ether Myristate', ' Saccharum Officinarum/Sugar Cane Extract/Extrait de Canne à Sucre', ' Citrus Limon (Lemon) Fruit Extract', ' Pyrus Malus (Apple) Fruit Extract', ' Hydrolyzed Lupine Protein', ' Hydrolyzed Vegetable Protein PG-Propyl Silanetriol', ' Camellia Sinensis Leaf Extract', ' Hydrolyzed Wheat Protein', ' Hydrolyzed Wheat Starch', ' Panthenol', ' Guar Hydroxypropyltrimonium Chloride', ' Cetrimonium Chloride', ' Betaine', ' Hexylene Glycol', ' Quaternium-91', ' Parfum (Fragrance)', ' Cetrimonium Methosulfate', ' Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate', ' Creatine', ' Hexapeptide-11', ' Citric Acid', ' Sodium Chloride', ' Phenoxyethanol', ' Sodium Benzoate', ' Potassium Sorbate', ' Disodium EDTA', ' Ethylhexylglycerin', ' Sodium Sulfate', ' Hexyl Cinnamal', ' Butylphenyl Methylpropional', ' Linalool', ' Benzyl Benzoate', ' Coumarin', ' Limonene', ' CI 15985 (Yellow 6)', ' CI 60730 (Ext. Violet 2)', ' CI 17200 (Red 33)']",Lee Stafford,6.7 fl.oz
271,Fekkai Super Strength Conditioner Damage and Breakage Repair 8.5 oz,$24.00,None,None,None,"['Water/Aqua/Eau', ' Cetearyl Alcohol', ' Cetyl Esters', ' Behentrimonium Chloride', ' Triheptanoin', ' Oryzasativa (Rice) Bran Oil', ' Cetylalcohol', ' Jojoba Esters', ' Glycerin', ' Ricinus Communis (Castor) Seed Oil', ' Olea Europaea (Olive) Fruit Oil', ' Helianthus Annuus (Sunflower) Seed Wax', ' Fragrance/Parfum', ' Panthenol', ' Cassia Alata Leaf Extract', ' Oryza Sativa (Rice) Extract', ' Hydrolyzed Vegetable Protein', ' Caesalpinia Spinosa Fruit Extract', ' Leontopodium Alpinum Extract', ' Oryza Sativa (Rice) Seed Protein', ' Oryza Sativa (Rice) Bran Extract', ' Helianthus Annuus (Sunflower) Sprout Extract', ' Helianthus Annuus (Sunflower) Extract', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Ceramideng', ' Guar Hydroxypropyltrimonium Chloride', ' Polyglycerin-3', ' Cetrimonium Chloride', ' Tocopherol', ' Maltodextrin', ' Calcium Gluconate', ' Gluconolactone', ' Sodium Phytate', ' Phytic Acid', ' Potassium Sorbate', ' Sorbic Acid', ' Sodium Benzoate', ' Benzoic Acid', ' Ethylhexylglycerin', ' Caprylyl Glycol', ' Chlorphenesin', ' Phenoxyethanol', ' Benzyl Alcohol', ' Citric Acid', ' Potassium Hydroxide', ' C13-16 Isoparaffin', ' Alcohol', ' Limonene', ' Coumarin', ' Alpha-Isomethyl Ionone', ' Butylphenyl Methylpropional.']",Fekkai,8.5 oz
272,SILKE Hair Wrap The Mila Powder - Pink,$65.00,None,None,None,None,SILKE London,None
273,Christophe Robin Shade Variation Mask - Ash Brown Pocket 75ml,$18.00,None,None,None,"['Aqua (Water)', ' Cetearyl Alcohol', ' Cetyl Alcohol', ' Behentrimonium Chloride', ' Glycerin', ' Cetrimonium Chloride', ' Mauritia Flexuosa Fruit Oil', ' Parfum (Fragrance)', ' Ethylhexyl Methoxycinnamate', ' Prunus Amygdalus Dulcis (Sweet Almond) Oil', ' Hydrogenated Vegetable Oil', ' Tocopheryl Acetate', ' Butyrospermum Parkii (Shea) Butter', ' Citric Acid', ' Glycyrrhiza Glabra Root Extract', ' Sericin', ' Disodium EDTA', ' Potassium Sorbate', ' Sodium Benzoate', ' Ci 12245 ( Basic Red 76)', ' Ci 60730 (Acid Violet 43)', ' Ci 12719 (Basic Yellow 57)', ' Ci 12250 ( Basic Brown 16)', ' Ci 56059 ( Basic Blue 99)', ' Tocopherol', ' BHT.']",Christophe Robin,75ml
274,ghd Curve Soft Curl Iron (1.25 inches),$199.00,None,None,None,None,ghd,None
275,T3 Dry Vent Brush,$35.00,None,None,None,None,T3,None
276,Alterna Caviar Professional Styling Working Hair Spray 15.5oz,$33.00,4.0,1,None,"['Alcohol Denat.', ' Hydrofluorocarbon 152a', ' Octylacrylamide/Acrylates/Butylaminoethyl Methacrylate Copolymer', ' Glycerin', ' Panthenol', ' Macrocystis Pyrifera (Kelp) Extract', ' Helianthus Annuus (Sunflower) Seed Oil', ' Caviar Extract', ' Alaria Esculenta Extract', ' Hydrolyzed Pearl', ' Hydrolyzed Keratin', ' Keratin', ' Saccharomyces/Magnesium Ferment', ' Saccharomyces/Copper Ferment', ' Saccharomyces/Silicon Ferment', ' Saccharomyces/Zinc Ferment', ' Saccharomyces/Iron Ferment', ' Polysilicone-15', ' Biotin', ' Phospholipids', ' Superoxide Dismutase', ' Sea Salt (Maris Sal)', ' Pentaerythrityl Tetracaprylate/Tetracaprate', ' Ascorbic Acid', ' Aminomethyl Propanol', ' Butylene Glycol', ' Water/Aqua/Eau', ' PPG-5-Ceteth-20', ' Cyclopentasiloxane', ' PEG/PPG-17/18 Dimethicone', ' Phenyl Trimethicone', ' Triethyl Citrate', ' Tocopherol', ' Phenoxyethanol', ' Potassium Sorbate', ' PPG-12 Dimethicone', ' Fragrance (Parfum).']",Alterna,15.5 oz
277,Sachajuan Color Protect Conditioner 250ml,$30.00,None,None,None,"['Aqua (Water)', ' Sodium Laureth Sulfate', ' Glycerin', ' Cocamidopropyl Betaine', ' Peg-4 Rapeseedamide', ' Glycereth-2 Cocoate', ' Sodium Chloride', ' Parfum', ' Chondrus Crispus (Carrageenan) Extract', ' Glycol Distearate', ' Hydroxypropyl Guar Hydroxypropyltrimonium Chloride', ' Peg-7 Glyceryl Cocoate', ' Cocoamide Dea', ' Phenoxyethanol', ' Methylparaben', ' Butylparaben', ' Ethylparaben', ' Propylparaben', ' Isobutylparaben', ' Citric Acid', ' Alpha Isomethyl Ionone', ' Benzyl Salicylate', ' Butylphenyl Methylpropional', ' Hexyl Cinnamal', ' Limonene', ' Linalool.']",Sachajuan,250ml
